OBJECTID;DEM_RÍO_MAGDALENA_tif;X;Y;DEM_RÍO_MAGDALENA_Band_1
450;71;-73,889583333333221;7,027083333333247;71,0000000
451;70;-73,885416666666558;7,027083333333247;70,0000000
452;70;-73,881249999999895;7,027083333333247;70,0000000
453;73;-73,872916666666555;7,027083333333247;73,0000000
454;70;-73,885416666666558;7,022916666666580;70,0000000
455;71;-73,881249999999895;7,022916666666580;71,0000000
456;71;-73,885416666666558;7,018749999999914;71,0000000
457;71;-73,881249999999895;7,018749999999914;71,0000000
458;75;-73,877083333333218;7,018749999999914;75,0000000
459;73;-73,860416666666552;7,018749999999914;73,0000000
460;71;-73,885416666666558;7,014583333333246;71,0000000
461;70;-73,881249999999895;7,014583333333246;70,0000000
462;72;-73,872916666666555;7,014583333333246;72,0000000
463;72;-73,860416666666552;7,014583333333246;72,0000000
464;70;-73,885416666666558;7,010416666666580;70,0000000
465;71;-73,881249999999895;7,010416666666580;71,0000000
466;75;-73,877083333333218;7,010416666666580;75,0000000
467;70;-73,885416666666558;7,006249999999913;70,0000000
468;72;-73,881249999999895;7,006249999999913;72,0000000
469;73;-73,864583333333229;7,006249999999913;73,0000000
470;72;-73,889583333333221;7,002083333333246;72,0000000
471;71;-73,885416666666558;7,002083333333246;71,0000000
472;73;-73,868749999999892;7,002083333333246;73,0000000
473;71;-73,889583333333221;6,997916666666580;71,0000000
474;73;-73,902083333333223;6,993749999999913;73,0000000
475;71;-73,897916666666561;6,993749999999913;71,0000000
476;71;-73,893749999999883;6,993749999999913;71,0000000
477;71;-73,902083333333223;6,989583333333247;71,0000000
478;71;-73,897916666666561;6,989583333333247;71,0000000
479;72;-73,906249999999886;6,985416666666580;72,0000000
480;71;-73,902083333333223;6,985416666666580;71,0000000
481;72;-73,910416666666563;6,981249999999913;72,0000000
482;71;-73,906249999999886;6,981249999999913;71,0000000
483;72;-73,902083333333223;6,981249999999913;72,0000000
484;71;-73,914583333333226;6,977083333333246;71,0000000
485;71;-73,910416666666563;6,977083333333246;71,0000000
486;72;-73,906249999999886;6,977083333333246;72,0000000
487;72;-73,922916666666552;6,972916666666579;72,0000000
488;71;-73,918749999999889;6,972916666666579;71,0000000
489;71;-73,914583333333226;6,972916666666579;71,0000000
490;72;-73,910416666666563;6,972916666666579;72,0000000
491;76;-73,906249999999886;6,972916666666579;76,0000000
492;71;-73,922916666666552;6,968749999999913;71,0000000
493;72;-73,918749999999889;6,968749999999913;72,0000000
494;73;-73,914583333333226;6,968749999999913;73,0000000
495;76;-73,910416666666563;6,968749999999913;76,0000000
496;72;-73,927083333333229;6,964583333333247;72,0000000
497;71;-73,922916666666552;6,964583333333247;71,0000000
498;75;-73,918749999999889;6,964583333333247;75,0000000
499;74;-73,935416666666555;6,960416666666580;74,0000000
500;71;-73,931249999999892;6,960416666666580;71,0000000
501;71;-73,927083333333229;6,960416666666580;71,0000000
502;72;-73,922916666666552;6,960416666666580;72,0000000
503;71;-73,935416666666555;6,956249999999913;71,0000000
504;74;-73,931249999999892;6,956249999999913;74,0000000
505;73;-73,927083333333229;6,956249999999913;73,0000000
506;74;-73,922916666666552;6,956249999999913;74,0000000
507;76;-73,935416666666555;6,952083333333246;76,0000000
